"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#TEKKEN7 #Jack7 #PS4 #youtube Jack 7 basics video in the works https://t.co/R4rSZbhEkh",FALSE,0,NA,2019-10-08 17:51:39,FALSE,NA,"1181628233365807109",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ProtoJay4789",0,FALSE,FALSE,NA,NA
"RT @NMusis: Michael Jackson jumps 5 spots up on the #YouTube 100 Artist Charts going from #65 to #60. #MichaelJackson #KingOfPop #MJFam htt…",FALSE,0,NA,2019-10-08 17:51:35,FALSE,NA,"1181628218144673792",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","wndysteam",19,TRUE,FALSE,NA,NA
"RT @AntManxo82: In My Mode by @stoneroxxhoe ft @smokegenerxtor &amp; @DBGYoungDub.

https://t.co/IQHvahh3H0

https://t.co/ETYCQsd5oq

Keep push…",FALSE,0,NA,2019-10-08 17:51:22,FALSE,NA,"1181628162851196928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AntManxo82",1,TRUE,FALSE,NA,NA
"WOW! There’s so much more going on than I already enjoyed! 🤟😭😂 #Wisecrack @Wisecrack #YouTube @YouTube The sliding… https://t.co/lveuNj5bKo",FALSE,0,NA,2019-10-08 17:51:14,TRUE,NA,"1181628129934098432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StrayTurtle",0,FALSE,FALSE,NA,NA
"RT @anthonygraves: I watched #SquareOneMJ by @dannywuyue on #YouTube over the weekend. I found it incredibly informative and enlightening,…",FALSE,0,NA,2019-10-08 17:51:12,FALSE,NA,"1181628122183000064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cutejess2407",114,TRUE,FALSE,NA,NA
"RT @taming_sariband: 'Wake Up Boy' is UP! Go watch the NEW video, hear the latest Single!
https://t.co/xgy8LW31ZD
#NewMusicAlert #NewMusicV…",FALSE,0,NA,2019-10-08 17:51:09,FALSE,NA,"1181628110858575873",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","QUEENSHENA77",77,TRUE,FALSE,NA,NA
"RT @jodijeannine: JJ Show📺🎙#Photo Art Segment
#YouTube 📹 #Educational #Videos
📚 #BooKs 🖌 #Art 🎨 By JJ
Website: https://t.co/2LHiAUumJd http…",FALSE,0,NA,2019-10-08 17:50:53,FALSE,NA,"1181628043862986752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lindsayromantic",1940,TRUE,FALSE,NA,NA
"AUDIOPHILE MAN - YOUTUBE NEWS: VINYL NEWS #3
..a new vinyl imprint called earMUSIC Classics...a new box set from th… https://t.co/onM9qLEc5z",FALSE,0,NA,2019-10-08 17:50:34,TRUE,NA,"1181627960501116929",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","paulrigby50",0,FALSE,FALSE,NA,NA
"#YouTube made simple. With Video Reach Campaigns, advertisers can now upload multiple video ads into a single campa… https://t.co/VOSMsNALwZ",FALSE,0,NA,2019-10-08 17:50:29,TRUE,NA,"1181627940834041859",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","veloxmedia",0,FALSE,FALSE,NA,NA
"RT @aarontupaz: Learn how to Break Bad #Habits - The Power of Habits #Youtube 😊 ►https://t.co/jBMOSDvbkB 👈  https://t.co/xygUS9a5TL",FALSE,0,NA,2019-10-08 17:50:23,FALSE,NA,"1181627915307491331",NA,"<a href=""http://positivelybrainwashed.com"" rel=""nofollow"">Retweet Aaron Tupaz3</a>","FreemanLan567",6,TRUE,FALSE,NA,NA
"RT @MichelleRoseG33: https://t.co/antb9z90Qx #MinecraftMonday #Minecraft #youtube #YouTuber please like and subscribe ♥️ #gamergals #gamerg…",FALSE,0,NA,2019-10-08 17:50:18,FALSE,NA,"1181627896856825856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LynnroseDesign",89,TRUE,FALSE,NA,NA
"RT @RyshouJ_Gaming: Walking around at night looking for pieces of paper with scribbles 😂 
https://t.co/85LPU20zKT

#playing #scary #video #…",FALSE,0,NA,2019-10-08 17:50:06,FALSE,NA,"1181627843467513857",NA,"<a href=""https://twitter.com/rt_beam"" rel=""nofollow"">rt_beam</a>","rt_beam",8,TRUE,FALSE,NA,NA
"Looking forward to @nwa #NWAPowerrr on #YouTube tonight. 33 years ago we had #WWE, Georgia, UWF, MidAtlantic, South… https://t.co/qfhkFy3d2G",FALSE,0,NA,2019-10-08 17:49:48,TRUE,NA,"1181627770020995075",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BobbyChampionTV",0,FALSE,FALSE,NA,NA
"RT @pokeBALLZdeep: New Video!!! Pre Sword and Shield Team Battle 2. All Pokemon confirmed for Pokemon Sword and Shield, no Mega Stones, No…",FALSE,0,NA,2019-10-08 17:49:47,FALSE,NA,"1181627765252132864",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Crossing_Grave",16,TRUE,FALSE,NA,NA
"@Google Had to switch to Edge to watch YouTube. Chrome wouldn't play #youtube. Fix yo tubes YouTube!",FALSE,0,"Google",2019-10-08 17:49:45,FALSE,NA,"1181627756657799168","20536157","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ToBeHon58459378",0,FALSE,FALSE,NA,NA
"RT @SHVEN7: CHUCKY ON CAMPUS EP.1  #chucky #scary #youtube #SpookySzn https://t.co/F4Mu0Omzas https://t.co/z75z5Zag12",FALSE,0,NA,2019-10-08 17:49:33,FALSE,NA,"1181627706485755904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MunchieetoReal",53,TRUE,FALSE,NA,NA
"RT @HourADayGamer: Big things happening at the channel for my man @BrigadeBeard!!! Be sure you’re following and getting to know him!

#Hour…",FALSE,0,NA,2019-10-08 17:49:25,FALSE,NA,"1181627673266855939",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SloppyHose",1,TRUE,FALSE,NA,NA
"RT @ImDrRizwanUllah: Hi,
Dental Education Hub ( https://t.co/n6UZ851WEx  ) has reached to 2000+ subscribers. Thank you for the support!
@De…",FALSE,0,NA,2019-10-08 17:49:13,FALSE,NA,"1181627621332979713",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","lifeisfoul",1,TRUE,FALSE,NA,NA
"RT @anthonygraves: I watched #SquareOneMJ by @dannywuyue on #YouTube over the weekend. I found it incredibly informative and enlightening,…",FALSE,0,NA,2019-10-08 17:49:04,FALSE,NA,"1181627585094193152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SworldMikkie",114,TRUE,FALSE,NA,NA
"Big things happening at the channel for my man @BrigadeBeard!!! Be sure you’re following and getting to know him!… https://t.co/VZctYkv5Ez",FALSE,8,NA,2019-10-08 17:48:54,TRUE,NA,"1181627542933037057",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HourADayGamer",1,FALSE,FALSE,NA,NA
"GUESS WHAT! you guys now that I made it back home we can continue our adventure into #DeadCells at 5pm today… https://t.co/QQT2astQw9",FALSE,1,NA,2019-10-08 17:48:51,TRUE,NA,"1181627529888751616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ProdigieXd",0,FALSE,FALSE,NA,NA
"RT @Perpetualmaniac: ** Please RETWEET **

Any of these 3k words in the title will get your video DEMONETIZED on #YouTube!

WORDS INCLUDE:…",FALSE,0,NA,2019-10-08 17:48:47,FALSE,NA,"1181627513409277952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JasonandtracyG",331,TRUE,FALSE,NA,NA
"Fortnite Season X Visit https://t.co/3sZsojOFsd #TheCitrusGaming #stadia #Justcause4 #Fortnite #ApexLegends #GTA5… https://t.co/hl1m7eAuMN",FALSE,4,NA,2019-10-08 17:48:44,TRUE,NA,"1181627502684446721",NA,"<a href=""https://yatharth.blogspot.com"" rel=""nofollow"">TheCitrusGaming</a>","Citrus91771351",0,FALSE,FALSE,NA,NA
"RT @PHE_uk: 📢 ICYMI: A special #EveryMindMatters film, directed by Richard Curtis and narrated by The Duke &amp; Duchess of Cambridge, and The…",FALSE,0,NA,2019-10-08 17:48:44,FALSE,NA,"1181627502223077378",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","deeeeedeeeee96",317,TRUE,FALSE,NA,NA
"What song should I dance to and post on YouTube this weekend?! Channel name is Lauren Renteria. Show some love and… https://t.co/zWs9dvOIDj",FALSE,0,NA,2019-10-08 17:48:42,TRUE,NA,"1181627493419237377",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RenteriaLauren",0,FALSE,FALSE,NA,NA
"Tufan Guven- Fractal sacred geometry intro #Youtube Evolution of Islamic Geometric patterns",FALSE,0,NA,2019-10-08 17:48:24,FALSE,NA,"1181627415426224128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChadCudi",0,FALSE,FALSE,NA,NA
"RT @aarontupaz: Learn how to Break Bad #Habits - The Power of Habits #Youtube 😊 ►https://t.co/jBMOSDvbkB 👈  https://t.co/xygUS9a5TL",FALSE,0,NA,2019-10-08 17:48:15,FALSE,NA,"1181627377983594496",NA,"<a href=""http://fashion.com"" rel=""nofollow"">Retweet Aaron</a>","Astrology_4_You",6,TRUE,FALSE,NA,NA
